registro;retorno;rentabilidade;empresa;tag;tipo;retabilidade_ano;prazo;distribuidor;emissor;meses;
422;6053;10600;Original 106% CDI por modalmais;FGC;CDB;10.22% a.a.;06/10/2024;modalmais;Original;24;6053
423;5.244;104.00;Ourinvest 104% CDI por BTG Pactual;FGC;CDB;10.08% a.a.;17/04/2023;BTG Pactual;Ourinvest;6;5244
424;5.525;107.00;PagBank 107% CDI por Ágora Investimentos;FGC;CDB;10.51% a.a.;18/10/2023;Ágora Investimentos;PagBank;12;5525
425;5.518;106.00;PagBank 106% CDI por Guide Investimentos;FGC;CDB;10.42% a.a.;17/10/2023;Guide Investimentos;PagBank;12;5518
426;5.514;105.50;PagBank 105.5% CDI por XP Investimentos;FGC;CDB;10.37% a.a.;16/10/2023;XP Investimentos;PagBank;12;5514
427;5.246;105.00;PagBank 105% CDI por Nu invest;FGC;CDB;10.18% a.a.;17/04/2023;Nu invest;PagBank;6;5246
428;5.246;105.00;PagBank 105% CDI por Ágora Investimentos;FGC;CDB;10.18% a.a.;17/04/2023;Ágora Investimentos;PagBank;6;5246
429;5.246;105.00;PagBank 105% CDI por Nu invest;FGC;CDB;10.18% a.a.;17/04/2023;Nu invest;PagBank;6;5246
430;5.244;105.00;PagBank 105% CDI por XP Investimentos;FGC;CDB;10.18% a.a.;16/04/2023;XP Investimentos;PagBank;6;5244
431;5.545;13.45;PAN Prefixado 13.45% por modalmais;FGC;CDB;11.09% a.a.;12/10/2023;modalmais;PAN;12;5545
432;5.507;103.75;PAN 103.75% CDI por Guide Investimentos;FGC;CDB;10.19% a.a.;17/10/2023;Guide Investimentos;PAN;12;5507
433;6082;1225;PAN Prefixado 12.25% por modalmais;FGC;CDB;10.49% a.a.;06/10/2024;modalmais;PAN;24;6082
434;6053;10400;PAN 104% CDI por Guide Investimentos;FGC;CDB;10.03% a.a.;17/10/2024;Guide Investimentos;PAN;24;6053
435;8243;1205;PAN Prefixado 12.05% por modalmais;FGC;CDB;10.55% a.a.;16/10/2027;modalmais;PAN;60;8243
436;5.270;14.10;PAN Prefixado 14.1% por BTG Pactual;FGC;CDB;11.20% a.a.;17/04/2023;BTG Pactual;PAN;6;5270
437;5.268;14.00;PAN Prefixado 14% por Ágora Investimentos;FGC;CDB;11.12% a.a.;17/04/2023;Ágora Investimentos;PAN;6;5268
438;5.264;13.80;PAN Prefixado 13.8% por Nu invest;FGC;CDB;10.96% a.a.;17/04/2023;Nu invest;PAN;6;5264
439;5.244;104.25;PAN 104.25% CDI por BTG Pactual;FGC;CDB;10.10% a.a.;17/04/2023;BTG Pactual;PAN;6;5244
440;5.242;103.25;PAN 103.25% CDI por Ágora Investimentos;FGC;CDB;10.01% a.a.;17/04/2023;Ágora Investimentos;PAN;6;5242
441;6095;11000;Paran  Banco 110% CDI por Paran  Banco;FGC;CDB;10.61% a.a.;06/10/2024;Paran  Banco;Paran  Banco;24;6095
