registro;retorno;rentabilidade;empresa;tag;tipo;retabilidade_ano;prazo;distribuidor;emissor;meses;
568;5.544;13.31;Will Financeira Prefixado 13.31% por Will Financeira;FGC;RDB;10.97% a.a.;16/10/2023;Will Financeira;Will Financeira;12;5544
569;5.541;111.20;Will Financeira 111.2% CDI por Will Financeira;FGC;RDB;10.93% a.a.;16/10/2023;Will Financeira;Will Financeira;12;5541
570;5.532;109.20;Will Financeira 109.2% CDI por Will Financeira;FGC;CDB;10.73% a.a.;16/10/2023;Will Financeira;Will Financeira;12;5532
571;5.532;109.20;Will Financeira 109.2% CDI por Will Financeira;FGC;LC;10.73% a.a.;16/10/2023;Will Financeira;Will Financeira;12;5532
572;5.510;12.49;Will Financeira Prefixado 12.49% por Will Financeira;FGC;LC;10.30% a.a.;16/10/2023;Will Financeira;Will Financeira;12;5510
573;5.510;12.49;Will Financeira Prefixado 12.49% por Will Financeira;FGC;CDB;10.30% a.a.;16/10/2023;Will Financeira;Will Financeira;12;5510
574;6316;1460;Will Financeira Prefixado 14.6% por  rama;FGC;CDB;12.52% a.a.;10/10/2024; rama;Will Financeira;24;6316
575;6311;1445;Will Financeira Prefixado 14.45% por modalmais;FGC;CDB;12.40% a.a.;15/10/2024;modalmais;Will Financeira;24;6311
576;6226;1357;Will Financeira Prefixado 13.57% por Will Financeira;FGC;RDB;11.63% a.a.;15/10/2024;Will Financeira;Will Financeira;24;6226
577;6150;1278;Will Financeira Prefixado 12.78% por Will Financeira;FGC;CDB;10.95% a.a.;15/10/2024;Will Financeira;Will Financeira;24;6150
578;6150;1278;Will Financeira Prefixado 12.78% por Will Financeira;FGC;LC;10.95% a.a.;15/10/2024;Will Financeira;Will Financeira;24;6150
579;6120;11070;Will Financeira 110.7% CDI por Will Financeira;FGC;RDB;10.68% a.a.;15/10/2024;Will Financeira;Will Financeira;24;6120
580;6099;10870;Will Financeira 108.7% CDI por Will Financeira;FGC;LC;10.48% a.a.;15/10/2024;Will Financeira;Will Financeira;24;6099
581;6099;10870;Will Financeira 108.7% CDI por Will Financeira;FGC;CDB;10.48% a.a.;15/10/2024;Will Financeira;Will Financeira;24;6099
582;8756;12150;Will Financeira 121.5% CDI por modalmais;FGC;CDB;11.89% a.a.;15/10/2027;modalmais;Will Financeira;60;8756
583;8707;1341;Will Financeira Prefixado 13.41% por Will Financeira;FGC;RDB;11.77% a.a.;16/10/2027;Will Financeira;Will Financeira;60;8707
584;8438;1263;Will Financeira Prefixado 12.63% por Will Financeira;FGC;LC;11.07% a.a.;16/10/2027;Will Financeira;Will Financeira;60;8438
585;8438;1263;Will Financeira Prefixado 12.63% por Will Financeira;FGC;CDB;11.07% a.a.;16/10/2027;Will Financeira;Will Financeira;60;8438
586;8345;11079;Will Financeira 110.8% CDI por Will Financeira;FGC;RDB;10.82% a.a.;16/10/2027;Will Financeira;Will Financeira;60;8345
587;8271;10880;Will Financeira 108.8% CDI por Will Financeira;FGC;CDB;10.62% a.a.;16/10/2027;Will Financeira;Will Financeira;60;8271
588;8271;10880;Will Financeira 108.8% CDI por Will Financeira;FGC;LC;10.62% a.a.;16/10/2027;Will Financeira;Will Financeira;60;8271
